Name,Location,Lat,Long,Coffee,Food,Vibe,Service,Pretentiousness,Good place to work?,Notes,
Ballard Coffee Works,Ballard,47.66895235379179, -122.38456880148046,,,,,,,
Cafe Bambino,Ballard,47.67587703122908, -122.3621974303161,,,,,,,,
Fresh Flours,Beacon Hill,47.57877152884914, -122.31128983031876,,,,,,,,
The Station,Beacon Hill,47.57958945378787, -122.31193647264703,,,,,,,,
Analog Coffee,Capitol Hill,47.62065658946687, -122.32552135915367,,,,,,,,
Argento,Capitol Hill,47.61622358578753, -122.3172828149741,,,,,,,,
Atulea,Capitol Hill,47.616932775603416, -122.31721303031776,,,,,,,,
Bakery Nouveau,Capitol Hill,47.61949874740299, -122.31291263031775,,,,,,,,
Caffe Vita,Capitol Hill,47.6139526, -122.3212198,,,,,,,,
Capitol Coffee Works,Capitol Hill,47.6139613, -122.3226775,,,,,,,,
Fuel (19th),Capitol Hill,47.6247222, -122.3091331,,,,,,,,
General Porpoise,Capitol Hill,47.6130544, -122.3209443,,,,,,,,
Ghost Note,Capitol Hill,47.6159362, -122.3293013,,,,,,,,
Good Weather Bicycle & Cafe,Capitol Hill,47.6137497, -122.3195739,,,,,,,,
Joe Bar,Capitol Hill,47.6251789, -122.3238363,,,,,,,,
Kaladi Bros,Capitol Hill,47.6139638, -122.3271315,,,,,,,,
Porchlight,Capitol Hill,47.6146524,-122.3166096,,,,,,,,
Starbucks Reserve,Capitol Hill,47.61403,-122.3302487,,,,,,,,
Victrola (15th),Belltown,47.6140296,-122.3368148,,,,,,,,
Vivace,Capitol Hill,47.6227018,-122.3230594,,,,,,,,
Vivace Sidewalk Stop,Capitol Hill,47.6216204,-122.3233109,,,,,,,,
Alexandra's,Central District,47.6132797,-122.3108018,,,,,,,,
Broadcast (Yesler),Central District,47.6018306,-122.3087415,,,,,,,,
Broadcast (Temple Pastries),Central District, ,,,,,,,,
Katy's,Central District,47.5993074,-122.3009007,,,,,,,,
Squirrel Chops,Central District,47.6127769,-122.3054996,,,,,,,,
Union Coffee,Central District,47.6127916,-122.3032953,,,,,,,,
Columbia City Bakery,Columbia City,47.558202,-122.2876587,,,,,,,,
Empire Espresso,Columbia City,47.5585179,-122.2864336,,,,,,,,
Olympia Coffee,Columbia City,47.5588208,-122.2874735,,,,,,,,
Storyville,Everywhere, ,,,,,,,,
Starbucks (normal),Everywhere, ,,,,,,,,
Cafe Ladro,Everywhere, ,,,,,,,,
Tougo,First Hill,47.6018829,-122.3233876,,,,,,,,
Fremont Coffee Co.,Fremont,47.6516861,-122.3552581,,,,,,,,
Lighthouse Roasters,Fremont,47.6590938,-122.356401,,,,,,,,
MiiR,Fremont,47.6490965,-122.3446798,,,,,,,,
Stone Way Cafe,Fremont,47.6498948,-122.3446523,,,,,,,,
Milstead,Fremont,47.6494128,-122.3498808,,,,,,,,
PIM Coffee+ Bikes,Fremont,47.6562198,-122.3648538,,,,,,,,
Hood Famous,International District,47.59968168683287, -122.32755880502143,,,,,,,,
Tous les Jour,International District,47.5950241,-122.3331487,,,,,,,,
Fuji Bakery,International District,47.5984487,-122.3286995,,,,,,,,
Fuel,Montlake,47.6396488,-122.3040901,,,,,,,,
QED Coffee,Mount Baker,47.5896938,-122.2944792,,,,,,,,
Cafe Vitta (Pioneer Square),Pioneer Square,47.6010361,-122.331622,,,,,,,,
Elm,Pioneer Square,47.600136,-122.3332607,,,,,,,,
Zeitgeist,Pioneer Square,47.5991119,-122.3339843,,,,,,,,
Allegro,University District,47.6579977,-122.3164659,,,,,,,,
Cafe on the Ave,University District,47.6584089,-122.3144435,,,,,,,,
Herkimer,University District,47.6698092,-122.3154075,,,,,,,,
Solstice,University District,47.6574076,-122.3151257,,,,,,,,
Ugly Mug,University District,47.6596944,-122.3160998,,,,,,,,
A Muddy Cup,Wallingford,47.6615107,-122.3275164,,,,,,,,
Irwin's,Wallingford,47.6554944,-122.3350193,,,,,,,,
C&P,West Seattle,47.5516684,-122.3888757,,,,,,,,
Javasti,Maple Leaf,47.6907765,-122.3156733,,,,,,,,
Cloud City ,Maple Leaf,47.6923249,-122.3201697,,,,,,,,
