Name,Location,Coffee,Food,Vibe,Service,Pretentiousness,Good place to work?,Notes,
Ballard Coffee Works,Ballard,,,,,,,,INSTRUCTIONS
Cafe Bambino,Ballard,,,,,,,,1. Duplicate this sheet and rename it with your name
Fresh Flours,Beacon Hill,,,,,,,,"3. If you don't have an opinion on a coffee shop, you can leave it blank"
The Station,Beacon Hill,,,,,,,,2. Rate each coffee shop along each dimension with a number from 1-5
Analog Coffee,Capitol HIll,5,,5,4,5,2,"Love the vibe, but not a lot of work space",
Argento,Capitol HIll,,,,,,,,
Atulea,Capitol Hill,,,,,,,,
Bakery Nouveau,Capitol Hill,3,5,2,4,2,1,"Amazing food, obviously. Coffee is nothing special.",
Caffe Vita,Capitol Hill,4,2,3,3,4,5,This has a special place in my heart. Staff can come off a bit snobby.,
Capitol Coffee Works,Capitol HIll,3,,2,2,3,2,,
Fuel (19th),Capitol Hill,,,,,,,,
General Porpoise,Capitol Hill,4,4,4,4,4,1,,
Ghost Note,Capitol Hill,,,,,,,,
Good Weather Bicycle & Cafe,Capitol Hill,,3,5,5,5,2,Guy who runs this place is really nice,
Joe Bar,Capitol Hill,3,,4,,,2,Tables are small; not a great place to work,
Kaladi Bros,Capitol Hill,,,,,,,,
Porchlight,Capitol Hill,4,,5,,,2,,
Starbucks Reserve,Capitol Hill,4,5,1,5,1,1,Underrated,
Victrola (15th),Capitol Hill,4,3,5,4,3,5,"Lots of tables, lots of outlets",
Vivace,Capitol HIll,4,4,3,3,4,1,No wifi on weekends,
Vivace Sidewalk Stop,Capitol Hill,4,,5,3,2,1,Great place to grab a quick espresso if you're out and about,
Alexandra's,Central District,2,5,3,4,3,1,Their pop tart style pastries are amazing,
Broadcast (either),Central District,4,2,5,5,3,5,"Great vibe, great friendly staff",
Katy's,Central District,,3,3,3,1,1,,
Squirrel Chops,Central District,3,4,3,3,4,3,Paninis are good,
Union Coffee,Central District,5,4,3,5,5,5,Some say the vibe here is weird. Feels like an art gallery. I personally love it.,
Columbia City Bakery,Columbia City,4,5,5,5,1,2,"Really really good pastries, bread, etc",
Empire Espresso,Columbia City,,,,,,,,
Olympia Coffee,Columbia City,4,,4,,4,3,,
Storyville,Everywhere,5,5,2,5,5,2,"Coffee is great, vibe is weird. Basically a nicer starbucks",
Starbucks (normal),Everywhere,2,4,1,5,1,2,Starbucks food is legit,
Cafe Ladro,Everywhere,,,,,,,Logo is bad,
Tougo,First Hill,4,,,2,4,,"Cool spot, apparently the owner fired the old staff though",
Fremont Coffee Co.,Fremont,,,,,,,,
Lighthouse Roasters,Fremont,,,,,,,,
MiiR,Fremont,,,,,,,,
Stone Way Cafe,Fremont,,,,,,,,
Milstead,Fremont,5,,4,3,5,4,Too friendly,
PIM Coffee+ Bikes,Fremont,,,,,,,,
Hood Famous,International District,5,5,5,5,4,1,"Can't recommend this place enough. No place to work, but amazing coffee and treats. There often is a line.",
Tous les Jour,International District,2,4,1,4,1,1,"Definitely part of a chain and it feels like it, but some good treats.",
Fuel,Montlake,,,,,,,,
QED Coffee,Mt. Baker,3,3,3,3,4,3,Cool math style,
Cafe Vitta (Pioneer Square),Pioneer Square,4,3,4,3,4,3,,
Elm,Pioneer Square,5,3,5,5,5,3,,
Zeitgeist,Pioneer Square,4,3,4,4,3,4,,
Allegro,U District,3,3,5,5,2,4,,
Cafe on the Ave,U District,3,3,1,2,1,5,,
Herkimer,U District,5,,,,,,,
Solstice,U District,3,4,4,3,3,5,A classic,
Ugly Mug,U District,,,,,,,,
A Muddy Cup,Wallingford,,,,,,,,
Irwin's,Wallingford,,,,,,,,
C&P,West Seattle,,,,,,,,
