Name,Location,Coffee,Food,Vibe,Service,Pretentiousness,Good place to work?,Notes,
Ballard Coffee Works,Ballard,5,3,3,5,3,2,,INSTRUCTIONS
Cafe Bambino,Ballard,,,,,,,,1. Duplicate this sheet and rename it with your name
Fresh Flours,Beacon Hill,,,,,,,,"3. If you don't have an opinion on a coffee shop, you can leave it blank"
The Station,Beacon Hill,4,4,5,4,1,4,,2. Rate each coffee shop along each dimension with a number from 1-5
Analog Coffee,Capitol HIll,,,,,,,,
Argento,Capitol HIll,2,4,5,5,1,5,"When wifi works its great, mornings are pretty packed but people are nice. Coffee isn't great but everything cheap AF",
Atulea,Capitol Hill,4,3,5,3,5,1,Its an IG trap,
Bakery Nouveau,Capitol Hill,4,5,3,4,3,2,"Can't really work there, just gets so dang busy with a line out the door",
Caffe Vita,Capitol Hill,5,4,4,3,4,5,,
Capitol Coffee Works,Capitol HIll,,,,,,,,
Fuel (19th),Capitol Hill,,,,,,,,
General Porpoise,Capitol Hill,,,,,,,,
Ghost Note,Capitol Hill,,,,,,,,
Good Weather Bicycle & Cafe,Capitol Hill,,,,,,,,
Joe Bar,Capitol Hill,,,,,,,,
Kaladi Bros,Capitol Hill,,,,,,,,
Porchlight,Capitol Hill,,,,,,,,
Starbucks Reserve,Capitol Hill,,,,,,,,
Victrola (15th),Capitol Hill,,,,,,,,
Vivace,Capitol HIll,,,,,,,,
Vivace Sidewalk Stop,Capitol Hill,,,,,,,,
Alexandra's,Central District,4,5,5,4,3,1,they dont give you wifi,
Broadcast,Central District,,,,,,,,
Katy's,Central District,3,2,3,4,1,3,,
Squirrel Chops,Central District,,,,,,,,
Union Coffee,Central District,5,4,5,4,4,5,,
Columbia City Bakery,Columbia City,,,,,,,,
Empire Espresso,Columbia City,,,,,,,,
Olympia Coffee,Columbia City,,,,,,,,
Storyville,Everywhere,,,,,,,,
Starbucks (normal),Everywhere,2,4,2,3,4,4,Honestly its not bad and always easy to work - other people suck,
Cafe Ladro,Everywhere,,,,,,,,
Tougo,First Hill,,,,,,,,
Fremont Coffee Co.,Fremont,,,,,,,,
Lighthouse Roasters,Fremont,,,,,,,,
MiiR,Fremont,,,,,,,,
Stone Way Cafe,Fremont,,,,,,,,
Milstead,Fremont,,,,,,,,
PIM Coffee+ Bikes,Fremont,,,,,,,,
Hood Famous,International District,,,,,,,,
Tous les Jour,International District,,,,,,,,
Fuel,Montlake,,,,,,,,
QED Coffee,Mt. Baker,,,,,,,,
Cafe Vitta (Pioneer Square),Pioneer Square,,,,,,,,
Elm,Pioneer Square,,,,,,,,
Zeitgeist,Pioneer Square,,,,,,,,
Allegro,U District,5,4,5,3,3,4,"Mere and I had our first date here, very nostalgic",
Cafe on the Ave,U District,,,,,,,,
Herkimer,U District,,,,,,,,
Solstice,U District,,,,,,,,
Ugly Mug,U District,,,,,,,,
A Muddy Cup,Wallingford,,,,,,,,
Irwin's,Wallingford,,,,,,,,
C&P,West Seattle,,,,,,,,
Javasti,Maple Leaf,,,,,,,,
Cloud City ,Maple Leaf,,,,,,,,
