Name,Location,Coffee,Food,Vibe,Service,Pretentiousness,Good place to work?,Notes,
Ballard Coffee Works,Ballard,5,,4,5,4,5,"Great coffee, decently sized space",INSTRUCTIONS
Cafe Bambino,Ballard,,,,,,,,1. Duplicate this sheet and rename it with your name
Fresh Flours,Beacon Hill,,,,,,,,"3. If you don't have an opinion on a coffee shop, you can leave it blank"
The Station,Beacon Hill,,,,,,,,2. Rate each coffee shop along each dimension with a number from 1-5
Analog Coffee,Capitol HIll,,,,,,,,
Argento,Capitol HIll,,,,,,,,
Atulea,Capitol Hill,,,,,,,,
Bakery Nouveau,Capitol Hill,2,5,2,4,3,,"The coffee here is consistently mediocre, but the food is great.",
Caffe Vita,Capitol Hill,2,,4,4,2,3,Beans are roasted too dark for my taste,
Capitol Coffee Works,Capitol HIll,5,,3,5,3,5,Great coffee but small space,
Fuel (19th),Capitol Hill,3,,3,5,3,5,I can't remember anything good or bad about the coffee so it's probably decent.,
General Porpoise,Capitol Hill,4,5,2,5,4,5,"Never ordered the coffee here, but they have a good selection of beans. Donuts are amazing.",
Ghost Note,Capitol Hill,,,,,,,,
Good Weather Bicycle & Cafe,Capitol Hill,4,,5,5,4,5,"I love sitting outside in the sun with a coffee on weekend mornings. Great vibe, espresso seems solid.",
Joe Bar,Capitol Hill,3,4,5,5,2,5,"Such a cute space. My memory of the coffee is mediocre, but the food and vibe make this a must visit.",
Kaladi Bros,Capitol Hill,,,,,,,,
Porchlight,Capitol Hill,,,,,,,,
Starbucks Reserve,Capitol Hill,4,4,3,5,3,4,The coffee is actually good. Too crowded usually.,
Victrola (15th),Capitol Hill,4,,5,5,3,4,"Hard to get a table, but awesome place to work if you can. ",
Vivace,Capitol HIll,5,,5,4,4,5,Get an 8oz Cafe Nico. You're welcome. There's also a quiet study room.,
Vivace Sidewalk Stop,Capitol Hill,5,,4,4,3,4,There's something really cute about the sidewalk stand. Combine with a trip to the capitol hill farmers market for a perfect Sunday.,
Alexandra's,Central District,3,5,5,5,3,5,,
Broadcast,Central District,,,,,,,,
Katy's,Central District,1,3,4,4,1,4,"The coffee is overroasted garbage, but the place is cute overall",
Squirrel Chops,Central District,,,,,,,,
Union Coffee,Central District,5,,5,5,3,5,Great but small coffee shop. ,
Columbia City Bakery,Columbia City,,,,,,,,
Empire Espresso,Columbia City,,,,,,,,
Olympia Coffee,Columbia City,,,,,,,,
Storyville,Everywhere,,,,,,,,
Starbucks (normal),Everywhere,,,,,,,,
Cafe Ladro,Everywhere,,,,,,,,
Tougo,First Hill,,,,,,,,
Fremont Coffee Co.,Fremont,,,,,,,,
Lighthouse Roasters,Fremont,,,,,,,,
MiiR,Fremont,,,,,,,,
Stone Way Cafe,Fremont,,,,,,,,
Milstead,Fremont,,,,,,,,
PIM Coffee+ Bikes,Fremont,,,,,,,,
Hood Famous,International District,,,,,,,,
Tous les Jour,International District,,,,,,,,
Fuel,Montlake,,,,,,,,
QED Coffee,Mt. Baker,,,,,,,,
Cafe Vitta (Pioneer Square),Pioneer Square,,,,,,,,
Elm,Pioneer Square,,,,,,,,
Zeitgeist,Pioneer Square,,,,,,,,
Allegro,U District,,,,,,,,
Cafe on the Ave,U District,,,,,,,,
Herkimer,U District,,,,,,,,
Solstice,U District,2,4,3,3,1,3,Too noisy and mediocre coffee. All that saves this place is nostalgia and the espresso cream cheese brownie. ,
Ugly Mug,U District,,,,,,,,
A Muddy Cup,Wallingford,,,,,,,,
Irwin's,Wallingford,,,,,,,,
C&P,West Seattle,,,,,,,,
Javasti,Maple Leaf,,,,,,,,
Cloud City ,Maple Leaf,,,,,,,,
