Name,Location,Coffee,Food,Vibe,Service,Pretentiousness,Good place to work?,Notes,
Ballard Coffee Works,Ballard,,,,,,,,INSTRUCTIONS
Cafe Bambino,Ballard,,,,,,,,1. Duplicate this sheet and rename it with your name
Fresh Flours,Beacon Hill,4,5,4,4,3,3,,"3. If you don't have an opinion on a coffee shop, you can leave it blank"
The Station,Beacon Hill,4,5,5,5,3,3,,2. Rate each coffee shop along each dimension with a number from 1-5
Analog Coffee,Capitol HIll,,,,,,,,
Argento,Capitol HIll,,,,,,,,
Atulea,Capitol Hill,,,,,,,,
Bakery Nouveau,Capitol Hill,4,4,3,3,4,2,,
Caffe Vita,Capitol Hill,,,,,,,,
Capitol Coffee Works,Capitol HIll,,,,,,,,
Fuel (19th),Capitol Hill,,,,,,,,
General Porpoise,Capitol Hill,,,,,,,,
Ghost Note,Capitol Hill,,,,,,,,
Good Weather Bicycle & Cafe,Capitol Hill,,,,,,,,
Joe Bar,Capitol Hill,4,3,4,4,3,4,,
Kaladi Bros,Capitol Hill,,,,,,,,
Porchlight,Capitol Hill,,,,,,,,
Starbucks Reserve,Capitol Hill,,,,,,,,
Victrola (15th),Capitol Hill,5,,3,4,3,3,,
Vivace,Capitol HIll,,,,,,,,
Vivace Sidewalk Stop,Capitol Hill,,,,,,,,
Alexandra's,Central District,,,,,,,,
Broadcast,Central District,,,,,,,,
Katy's,Central District,3,4,,,,,,
Squirrel Chops,Central District,,,,,,,,
Union Coffee,Central District,,,,,,,,
Columbia City Bakery,Columbia City,,,,,,,,
Empire Espresso,Columbia City,,,,,,,,
Olympia Coffee,Columbia City,,,,,,,,
Storyville,Everywhere,,,,,,,,
Starbucks (normal),Everywhere,,,,,,,,
Cafe Ladro,Everywhere,,,,,,,,
Tougo,First Hill,,,,,,,,
Fremont Coffee Co.,Fremont,,,,,,,,
Lighthouse Roasters,Fremont,,,,,,,,
MiiR,Fremont,,,,,,,,
Stone Way Cafe,Fremont,,,,,,,,
Milstead,Fremont,,,,,,,,
PIM Coffee+ Bikes,Fremont,,,,,,,,
Hood Famous,International District,,,,,,,,
Tous les Jour,International District,,,,,,,,
Fuel,Montlake,,,,,,,,
QED Coffee,Mt. Baker,,,,,,,,
Cafe Vitta (Pioneer Square),Pioneer Square,,,,,,,,
Elm,Pioneer Square,,,,,,,,
Zeitgeist,Pioneer Square,,,,,,,,
Allegro,U District,,,,,,,,
Cafe on the Ave,U District,,,,,,,,
Herkimer,U District,,,,,,,,
Solstice,U District,,,,,,,,
Ugly Mug,U District,,,,,,,,
A Muddy Cup,Wallingford,,,,,,,,
Irwin's,Wallingford,,,,,,,,
C&P,West Seattle,,,,,,,,
Javasti,Maple Leaf,,,,,,,,
Cloud City ,Maple Leaf,,,,,,,,
