Name,Location,Coffee,Food,Vibe,Service,Pretentiousness,Good place to work?,Notes,
Ballard Coffee Works,Ballard,4,2,4,4,3,5,,INSTRUCTIONS
Cafe Bambino,Ballard,4,1,5,4,2,0,Tiny little shop around the corner from Goodwill in Ballard. Get an espresso and hang out with a friend on the deck.,1. Duplicate this sheet and rename it with your name
Fresh Flours,Beacon Hill,,,,,,,,"3. If you don't have an opinion on a coffee shop, you can leave it blank"
The Station,Beacon Hill,,,,,,,,2. Rate each coffee shop along each dimension with a number from 1-5
Analog Coffee,Capitol HIll,2,2,3,3,3,4,Great broadband. For some reason I just don't like their coffee. Mildly stiff vibes inside.,
Argento,Capitol HIll,,,,,,,,
Atulea,Capitol Hill,,,,,,,,
Bakery Nouveau,Capitol Hill,3,5,3,4,3,0,Fantastic spot to grab a sandwich when there's not a line out the door.,
Caffe Vita,Capitol Hill,,,,,,,,
Capitol Coffee Works,Capitol HIll,,,,,,,,
Fuel (19th),Capitol Hill,,,,,,,,
General Porpoise,Capitol Hill,,,,,,,,
Ghost Note,Capitol Hill,,,,,,,,
Good Weather Bicycle & Cafe,Capitol Hill,3,3,4,5,3,0,Staff has always been quite friendly. They'll talk to you at the counter while you sit down for a coffee and meal.,
Joe Bar,Capitol Hill,,,,,,,,
Kaladi Bros,Capitol Hill,,,,,,,,
Porchlight,Capitol Hill,,,,,,,,
Starbucks Reserve,Capitol Hill,5,2,4,3,5,4,Lol I mean you got to admit they've got some options w/ their coffee and yeah you can cozy up in a nice leather chair with your laptop for a while.,
Victrola (15th),Capitol Hill,,,,,,,,
Vivace,Capitol HIll,,,,,,,,
Vivace Sidewalk Stop,Capitol Hill,5,1,5,4,3,0,"Absolutely lovely place to stop with a friend, sit outside and do some people watching. You MUST get the Cafe Niko espresso.",
Alexandra's,Central District,,,,,,,,
Broadcast,Central District,,,,,,,,
Katy's,Central District,,,,,,,,
Squirrel Chops,Central District,,,,,,,,
Union Coffee,Central District,,,,,,,,
Columbia City Bakery,Columbia City,3,4,3,4,2,1,Nagy live,
Empire Espresso,Columbia City,,,,,,,,
Olympia Coffee,Columbia City,,,,,,,,
Storyville,Everywhere,,,,,,,,
Starbucks (normal),Everywhere,3,2,2,3,1,3,My favorite drink here is White Vanilla Mocha Cappuchino something something. Favorite food is breakfast sandwich.,
Cafe Ladro,Everywhere,4,1,2,2,4,2,This place always gives me a weird vibe. Their logo is too tall and skinny. The drink the Medici is worth getting though.,
Tougo,First Hill,3,2,4,5,2,3,"I haven't been to the new location but the old location on 17th was nice, a good place to work and the owner was always very friendly.",
Fremont Coffee Co.,Fremont,3,2,5,3,2,5,Awesome place! A converted house with lots of little rooms. Real great place to plop down with a laptop and work a while.,
Lighthouse Roasters,Fremont,,,,,,,,
MiiR,Fremont,4,2,4,4,3,5,Sanitary white blank modern vibe. Staff is friendly. A lot of people are in there to work already.,
Stone Way Cafe,Fremont,3,5,4,3,2,5,"Awesome spot! Properly phenomenal food. They have breakfast burritos, pulled pork sandwiches, salads all very well done. Great space to work. Sometimes live music or comedy nights too.",
Milstead,Fremont,4,2,2,5,5,4,Service is fantastic but somehow the place gives off a culty way-too-friendly-happy vibe. I dunno.,
PIM Coffee+ Bikes,Fremont,,,,,,,,
Hood Famous,International District,,,,,,,,
Tous les Jour,International District,,,,,,,,
Fuel,Montlake,,,,,,,,
QED Coffee,Mt. Baker,,,,,,,,
Cafe Vitta (Pioneer Square),Pioneer Square,,,,,,,,
Elm,Pioneer Square,,,,,,,,
Zeitgeist,Pioneer Square,,,,,,,,
Allegro,U District,5,2,5,5,3,5,Perhaps my favorite cafe in all the world. You can't beat snagging a table along the window. Always a lot going on in the alley and inside. College staple.,
Cafe on the Ave,U District,4,5,3,3,2,5,"Decent coffee, pretty good food options! I go for the Chicken Fried Steak in the morning and the Cabonera with Bacon noodles in the evening. Friends may clarifiy, ""wait which one?"" when you tell them to meet you at Cafe on the Ave",
Herkimer,U District,4,2,3,3,3,3,Fine place to work and fine coffee. Just small. No reason to go out of your way to get here.,
Solstice,U District,3,2,2,3,4,4,I always preferred the Capitol Hill location.,
Ugly Mug,U District,2,2,4,3,2,3,I remember this place having odd hours in the past. I've only been there once or twice. It is cramped inside. Kind of the worst of all worlds for working on socializing.,
A Muddy Cup,Wallingford,3,2,5,4,5,2,Super cozy little spot worth checking out. The owners are a couple that have put a lot of work into the place. They are midly control freaks with LOTS of little signs around telling you what and what not to do. It is such a warm feeling space laptops don't feel like the right thing to engage with.,
Irwin's,Wallingford,,,,,,,,
C&P,West Seattle,,,,,,,,
